

Experiment 1 Results (DTLearner RMSE vs. Leaf Size)
--------------------------------------------------
Leaf Size    In-Sample RMSE       Out-of-Sample RMSE  
4            0.002879             0.007292            
5            0.004269             0.006616            
6            0.004388             0.006553            
7            0.004388             0.006553            
8            0.004388             0.006553            
9            0.004398             0.006553            
10           0.005173             0.006168            
11           0.005306             0.006266            
12           0.005306             0.006266            
13           0.005306             0.006266            
14           0.005306             0.006266            
15           0.005306             0.006266            
16           0.005306             0.006266            
17           0.005306             0.006266            
18           0.005306             0.006266            
19           0.005318             0.006282            
20           0.006147             0.006834            
21           0.006378             0.007153            
22           0.006378             0.007153            
23           0.006378             0.007153            
24           0.006378             0.007153            
25           0.006378             0.007153            
26           0.006378             0.007153            
27           0.006378             0.007153            
28           0.006378             0.007153            
29           0.006378             0.007153            
30           0.006378             0.007153            
31           0.006378             0.007153            
32           0.006378             0.007153            
33           0.006378             0.007153            
34           0.006378             0.007153            
35           0.006378             0.007153            
36           0.006378             0.007153            
37           0.006378             0.007153            
38           0.006378             0.007153            
39           0.006399             0.007193            
40           0.007058             0.007440            
41           0.007510             0.007265            
42           0.007510             0.007265            
43           0.007510             0.007265            
44           0.007510             0.007265            
45           0.007510             0.007265            
46           0.007510             0.007265            
47           0.007510             0.007265            
48           0.007510             0.007265            
49           0.007510             0.007265            
50           0.007510             0.007265            
51           0.007510             0.007265            
52           0.007510             0.007265            
53           0.007510             0.007265            
54           0.007510             0.007265            
55           0.007510             0.007265            
56           0.007510             0.007265            
57           0.007510             0.007265            
58           0.007510             0.007265            
59           0.007510             0.007265            
60           0.007510             0.007265            
61           0.007510             0.007265            
62           0.007510             0.007265            
63           0.007510             0.007265            
64           0.007510             0.007265            
65           0.007510             0.007265            
66           0.007510             0.007265            
67           0.007510             0.007265            
68           0.007510             0.007265            
69           0.007510             0.007265            
70           0.007510             0.007265            
71           0.007510             0.007265            
72           0.007510             0.007265            
73           0.007510             0.007265            
74           0.007510             0.007265            
75           0.007510             0.007265            
76           0.007510             0.007265            
77           0.007510             0.007265            
78           0.007510             0.007265            
79           0.007510             0.007265            
80           0.008171             0.007690            
81           0.008336             0.008069            
82           0.008336             0.008069            
83           0.008336             0.008069            
84           0.008336             0.008069            
85           0.008336             0.008069            
86           0.008336             0.008069            
87           0.008336             0.008069            
88           0.008336             0.008069            
89           0.008336             0.008069            
90           0.008336             0.008069            
91           0.008336             0.008069            
92           0.008336             0.008069            
93           0.008336             0.008069            
94           0.008336             0.008069            
95           0.008336             0.008069            
96           0.008336             0.008069            
97           0.008336             0.008069            
98           0.008336             0.008069            
99           0.008336             0.008069            
